INFO 2023-09-13 23:10:27,685 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-13 23:10:28,179 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-13 23:10:28,185 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-13 23:10:28,186 __init__ interactive is False
DEBUG 2023-09-13 23:10:28,187 __init__ platform is win32
DEBUG 2023-09-13 23:10:28,254 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-13 23:10:28,262 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
INFO 2023-09-13 23:16:56,299 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-13 23:16:56,588 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-13 23:16:56,623 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-13 23:16:56,624 __init__ interactive is False
DEBUG 2023-09-13 23:16:56,624 __init__ platform is win32
DEBUG 2023-09-13 23:16:56,681 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-13 23:16:56,683 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-13 23:21:30,090 connectionpool Starting new HTTP connection (1): api.forismatic.com:80
DEBUG 2023-09-13 23:21:30,255 connectionpool http://api.forismatic.com:80 "GET /api/1.0/?method=getQuote&format=json&lang=en HTTP/1.1" 200 None
DEBUG 2023-09-13 23:21:30,257 connectionpool Starting new HTTPS connection (1): icanhazdadjoke.com:443
DEBUG 2023-09-13 23:21:30,826 connectionpool https://icanhazdadjoke.com:443 "GET / HTTP/1.1" 200 None
DEBUG 2023-09-13 23:22:53,707 connectionpool Starting new HTTP connection (1): api.forismatic.com:80
DEBUG 2023-09-13 23:22:53,826 connectionpool http://api.forismatic.com:80 "GET /api/1.0/?method=getQuote&format=json&lang=en HTTP/1.1" 200 None
DEBUG 2023-09-13 23:22:53,827 connectionpool Starting new HTTPS connection (1): icanhazdadjoke.com:443
DEBUG 2023-09-13 23:22:54,396 connectionpool https://icanhazdadjoke.com:443 "GET / HTTP/1.1" 200 None
DEBUG 2023-09-13 23:22:57,692 connectionpool Starting new HTTP connection (1): api.forismatic.com:80
DEBUG 2023-09-13 23:22:57,811 connectionpool http://api.forismatic.com:80 "GET /api/1.0/?method=getQuote&format=json&lang=en HTTP/1.1" 200 None
DEBUG 2023-09-13 23:22:57,813 connectionpool Starting new HTTPS connection (1): icanhazdadjoke.com:443
DEBUG 2023-09-13 23:22:58,073 connectionpool https://icanhazdadjoke.com:443 "GET / HTTP/1.1" 200 None
DEBUG 2023-09-13 23:22:59,202 connectionpool Starting new HTTP connection (1): api.forismatic.com:80
DEBUG 2023-09-13 23:22:59,313 connectionpool http://api.forismatic.com:80 "GET /api/1.0/?method=getQuote&format=json&lang=en HTTP/1.1" 200 None
DEBUG 2023-09-13 23:22:59,316 connectionpool Starting new HTTPS connection (1): icanhazdadjoke.com:443
